"id" "period" "season" "sum_space_free" "sum_broken" "sum_total" "mean_predict_day_spaces_free" "perc_slot_free" "perc_broken_bikes" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri" "use"
"43" 11 "night" "summer" 689 121 1050 0.621790300587345 0.656190476190476 0.115238095238095 "Bodoni" 45.06336 7.684215 15 257.457770986 18 0 0 0 0 0 1 308.847116997 25 8424 8424 261.922751894 24 4878 913 304 21912 0 0 0 0 0 0 0 0 0 0 "BORGO NUOVO" 5019 553 0.110181311018131 1
"44" 11 "late" "winter" 604 133 1365 0.482710443608148 0.442490842490842 0.0974358974358974 "Bodoni" 45.06336 7.684215 15 257.457770986 18 0 0 0 0 0 1 308.847116997 25 8424 8424 261.922751894 24 4878 913 304 21912 0 0 0 0 0 0 0 0 0 0 "BORGO NUOVO" 5019 553 0.110181311018131 0
"45" 12 "morning" "autumn" 571 175 1312 0.606786519247275 0.435213414634146 0.133384146341463 "Bologna" 45.082445 7.695695 16 197.932529375 10 268.914061625 8 0 0 0 0 0 0 0 0 221.01273415 7 910 536 343 3758 0 0 0 0 0 0 0 0 0 0 "ROSSINI" 6410 948 0.14789391575663 0
"46" 12 "morning" "spring" 564 368 1456 0.523275785257346 0.387362637362637 0.252747252747253 "Bologna" 45.082445 7.695695 16 197.932529375 10 268.914061625 8 0 0 0 0 0 0 0 0 221.01273415 7 910 536 343 3758 0 0 0 0 0 0 0 0 0 0 "ROSSINI" 6410 948 0.14789391575663 0
"47" 12 "morning" "summer" 481 160 1088 0.62284801082496 0.442095588235294 0.147058823529412 "Bologna" 45.082445 7.695695 16 197.932529375 10 268.914061625 8 0 0 0 0 0 0 0 0 221.01273415 7 910 536 343 3758 0 0 0 0 0 0 0 0 0 0 "ROSSINI" 6410 948 0.14789391575663 0
"48" 12 "morning" "winter" 483 282 1424 0.482993568084551 0.339185393258427 0.198033707865169 "Bologna" 45.082445 7.695695 16 197.932529375 10 268.914061625 8 0 0 0 0 0 0 0 0 221.01273415 7 910 536 343 3758 0 0 0 0 0 0 0 0 0 0 "ROSSINI" 6410 948 0.14789391575663 0
"49" 13 "late" "autumn" 1531 320 1936 0.610608226593862 0.790805785123967 0.165289256198347 "Bolzano" 45.07139 7.66669 16 238.138208957 28 335.99937936 4 0 0 0 0 0 0 0 0 262.128155783 4 387 317 263 1268 111.971016015 1 6 6 6 6 7 7 7 7 "COMANDI MILITARI" 5157 310 0.0601124684894318 1
"50" 13 "night" "spring" 1154 261 1504 0.521722685816941 0.767287234042553 0.173537234042553 "Bolzano" 45.07139 7.66669 16 238.138208957 28 335.99937936 4 0 0 0 0 0 0 0 0 262.128155783 4 387 317 263 1268 111.971016015 1 6 6 6 6 7 7 7 7 "COMANDI MILITARI" 5157 310 0.0601124684894318 1
"51" 13 "night" "summer" 884 181 1120 0.621790300587345 0.789285714285714 0.161607142857143 "Bolzano" 45.07139 7.66669 16 238.138208957 28 335.99937936 4 0 0 0 0 0 0 0 0 262.128155783 4 387 317 263 1268 111.971016015 1 6 6 6 6 7 7 7 7 "COMANDI MILITARI" 5157 310 0.0601124684894318 1
"52" 13 "late" "winter" 983 203 1456 0.482710443608148 0.675137362637363 0.139423076923077 "Bolzano" 45.07139 7.66669 16 238.138208957 28 335.99937936 4 0 0 0 0 0 0 0 0 262.128155783 4 387 317 263 1268 111.971016015 1 6 6 6 6 7 7 7 7 "COMANDI MILITARI" 5157 310 0.0601124684894318 1
"53" 14 "afternoon" "autumn" 965 79 1270 0.611840585116314 0.759842519685039 0.0622047244094488 "Borgo" 45.05636 7.58099 10 167.952113097 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"54" 14 "afternoon" "spring" 963 74 1400 0.527677346873071 0.687857142857143 0.0528571428571429 "Borgo" 45.05636 7.58099 10 167.952113097 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"55" 14 "afternoon" "summer" 685 7 950 0.623036921167518 0.721052631578947 0.00736842105263158 "Borgo" 45.05636 7.58099 10 167.952113097 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
