"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Torino";"Vinovo";"Via Sestriere";"70-72";"04";"0013090001";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Torino";"Villar Perosa";"Via IV NOVEMBRE";"2";"0013070001";"0013070002";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Torino";"Volpiano";"VIA TRIESTE";"1 e 7";"2";"0013140001";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Volvera";"Via Risorgimento";"2";"3";"0013150004";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Verbano";"Anzola D'Ossola";"VIA MEGOLO";"14";"1";"1030020003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Volvera";"Garibaldi";"1/B";"2";"0013150005";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Verbano";"Antrona Schieranco";"VIA SANTA MARIA";"2";"1";"1030010002";"Anno specificare";"Si";"1920";"No";"1";""
"Comune";"Torino";"Volpiano";"Via Sottoripa";"3";"1";"0013140003";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Verbano";"Antrona Schieranco";"VIA MARCONI GUGLIELMO";"4";"2";"1030010001";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Torino";"Volvera";"Via Garibaldi";"1";"1";"0013150002";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Verbano";"Anzola D'Ossola";"VIA MEGOLO";"4";"2";"1030020001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Volpiano";"VIALE DALLA CHIESA CARLO ALBERTO GENERALE";"1";"3";"0013140002";"Anno specificare";"Si";"1959";"No";"1";""
"Comune";"Torino";"Volpiano";"VIA LOMBARDORE";"10";"4";"0013140004";"Anno specificare";"Si";"2005";"No";"1";""
"Comune";"Torino";"Volvera";"VIA RISORGIMENTO";"19";"4";"0013150003";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Vische";"Piazza Colonnello Amione";"snc";"1";"0013110001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Viu'";"PIAZZA DEL VOLONTARIO";"1";"001313001";"0013130001";"Anno specificare";"Si";"1915";"No";"1";""
"Comune";"Torino";"Virle Piemonte";"VIA BIRAGO CONTESSA";"2";"3";"0013100002";"Anno specificare";"Si";"2013";"No";"1";""
"Comune";"Torino";"Volvera";"VIA GERBOLE";"12";"5";"0013150006";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Vistrorio";"PIAZZA CAVOUR";"1";"1";"0013120001";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"Via Bertone Bruno";"2";"3";"1030190005";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Verbano";"Cannobio";"VIALE VITTORIO VENETO";"6";"1";"1030170002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Baveno";"Via CARETTO";"38";"3";"1030080005";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Verbano";"Arizzano";"VIA FIRENZE";"26";"01";"1030030001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Baveno";"Via BRERA";"12";"6";"1030080008";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Verbano";"Belgirate";"Via CONELLI";"30";"1";"1030100001";"Anno specificare";"Si";"1693";"No";"1";""
"Comune";"Verbano";"Calasca-Castiglione";"Località ANTROGNA";"70";"1";"1030140001";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"Via F.lli Nolli";"4";"4";"1030190006";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Baveno";"Via OLTREFIUME";"31";"5";"1030080007";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Cannero Riviera";"Via MAGGIORE GILDO CARONES";"1";"1";"1030160001";"Anno specificare";"Si";"1941";"No";"1";""
"Comune";"Verbano";"Baveno";"Via MONTEGRAPPA";"12";"4";"1030080002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Cannero Riviera";"via m. giulia lombardi";"1";"3";"1030160002";"Anno specificare";"Si";"1939";"No";"1";""
"Comune";"Verbano";"Cambiasca";" Scuola Elementare Nino Chiovini, VIA PER COMERO";"1";"1030150001";"1030150001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Cannobio";"VIALE VITTORIO VENETO";"2";"2";"1030170003";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Baveno";"Via CARETTO";"36";"2";"1030080006";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Verbano";"Bee";"piazza Barozzi";"1";"1";"1030090001";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Verbano";"Baceno";"VIA INNOCENZO IX PAPA";"2";"SCUOLA MED";"1030060003";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Cannero Riviera";"Via IV° NOVEMBRE";"6";"2";"1030160003";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Verbano";"Beura-Cardezza";"Via S.Clemente";"7";"1";"1030110001";"Anno specificare";"Si";"1989";"No";"1";""
"Comune";"Verbano";"Cannobio";"VIA PIANA";"64";"3";"1030170004";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Baveno";"Via CAVALLI";"11";"1";"1030080003";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Cambiasca";"Piazza S. GREGORIO";"1";"1030150002";"1030150002";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Cannobio";"VIA ZAMMARETTI";"2";"4";"1030170005";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Germagno";"Via Mons. Rocco Maria Mancini";"3";"1";"1030320001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Domodossola";"VIA SAN FRANCESCO D'ASSISI";"44";"1";"1030280004";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Verbano";"Crevoladossola";"Via Gramsci";"7";"2";"1030250002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Domodossola";"VIA CERETTI MATILDE";".";"8";"1030280011";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"via montebuglio";"12";"5";"1030190007";"Anno specificare";"Si";"2009";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"via Montebuglio";"12";"1";"1030190003";"Anno specificare";"Si";"1932";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"via Montebuglio";"12";"2";"1030190004";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Verbano";"Druogno";"VIA GABBIO";"2";"VB000278";"1030290002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Cesara";"Via Scardini";"31";"1";"1030220002";"Anno specificare";"Si";"1971";"No";"1";""
"Comune";"Verbano";"Domodossola";"BORGATA QUARTERO";"1";"7";"1030280010";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Crevoladossola";"Viale Combattenti";"1";"5";"1030250004";"Anno specificare";"Si";"1985";"No";"1";""
"Comune";"Verbano";"Domodossola";"VIA TERRACINI UMBERTO";"23";"2";"1030280005";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Verbano";"Crevoladossola";"Viale Combattenti";"1";"4";"1030250001";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Verbano";"Domodossola";"LARGO PARTIGIANI";"1";"6";"1030280009";"Anno specificare";"Si";"1985";"No";"1";""
"Comune";"Verbano";"Druogno";"VIA BONARDI";"42";"VB000279";"1030290004";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Crevoladossola";"Via San Cristoforo";"1";"1";"1030250005";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Verbano";"Crevoladossola";"Via Mazzorini";"1";"3";"1030250006";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Verbano";"Ghiffa";"VIA ALLE SCUOLE";"3";"02";"1030330003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Casale Corte Cerro";"via sanguegno";"1";"6";"1030190008";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Domodossola";"PIAZZA CHAVEZ GEO";"1";"5";"1030280008";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Verbano";"Druogno";"VIA ALBOGNO";"2";"1030290003";"1030290003";"Anno specificare";"Si";"2005";"No";"1";""
"Comune";"Verbano";"Crodo";"santo stefano";"snc";"5";"1030260004";"Anno specificare";"Si";"2010";"No";"1";""
"Comune";"Verbano";"Domodossola";"VIA ROSMINI ANTONIO";"16";"4";"1030280007";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Macugnaga";"Via Imseng";"13";"2";"1030390001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Mergozzo";"VIA BRACCHIO";"10";"1";"1030440001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Gignese";"VIA BORGNA";"2";"2";"1030340002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Oggebbio";"Piazza MUNICIPIO";"3";"1030490001";"1030490001";"Anno specificare";"Si";"1963";"No";"1";""
"Comune";"Verbano";"Montecrestese";"VIA ROLDO";"7";"1";"1030460003";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Verbano";"Gravellona Toce";"Via Umberto del Signore";"1";"MATERNA";"1030350004";"Anno specificare";"Si";"1995";"No";"1";""
"Comune";"Verbano";"Gurro";"Via Provinciale";"4";"1";"1030360001";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Malesco";"Via San Gottardo";"9";"2";"1030410001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Montescheno";"Via SASSO";"3";"1";"1030470002";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Gignese";"Piazza Marconi";"4";"1";"1030340001";"Anno specificare";"Si";"1920";"No";"1";""
"Comune";"Verbano";"Gravellona Toce";"VIALE PATTARONI FELICE";"15";"C/00";"1030350001";"Anno specificare";"Si";"1925";"No";"1";""
"Comune";"Verbano";"Macugnaga";"Centro Abitato Pestarena";"308";"1";"1030390002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Malesco";"PIAZZA XV MARTIRI";"1";"1";"1030410002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Omegna";"Via DE AMICIS";"7";"PROVVB_5";"1030500005";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA DE AMICIS EDMONDO";"7";"OMEGNA1";"1030500010";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Ghiffa";"VIA MONTE BIANCO";"3";"1";"1030330001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Gravellona Toce";"Via PATTARONI";"15";"C/01";"1030350002";"Anno specificare";"Si";"1942";"No";"1";""
"Comune";"Verbano";"Gravellona Toce";"Via PATTARONI";"15";"C/02";"1030350003";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Verbano";"Gravellona Toce";"Via Privata Pariani";"25";"MEDIA";"1030350005";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Verbano";"Mergozzo";"VIA PALLANZA";"23";"2";"1030440002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Nonio";"Via MARCONI";"2";"1";"1030480001";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Verbano";"Masera";"Via PROVINCIALE";"57";"01";"1030420001";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Verbano";"Mergozzo";"VIA PALLANZA";"23";"3";"1030440003";"Anno specificare";"Si";"2013";"No";"1";""
"Comune";"Verbano";"Omegna";"PIAZZA CHIESA";"9";"AGRANO 1";"1030500011";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA FIUMETTA";"4";"BAGNELLA";"1030500006";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA FOSSALONE";"17";"OMEGNA3";"1030500015";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Montecrestese";"Frazione chiesa";"25";"2";"1030460004";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA LEONARDO DA VINCI";"47";"CIREGGIO";"1030500012";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Ornavasso";"Via Marconi";"10";"1";"1030510002";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA SOTTO CHIESA";"6";"PROVVB_2";"1030500002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Premeno";"VIA VITTORIO EMANUELE II";"5";"SM 2";"1030550002";"Anno specificare";"Si";"1920";"No";"1";""
"Comune";"Verbano";"Ornavasso";"PIAZZA XXIV MAGGIO";"17";"100";"1030510003";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Pieve Vergonte";"Via Rosmini";"7";"2";"1030540001";"Anno specificare";"Si";"1950";"No";"1";""
"Comune";"Verbano";"Omegna";"Via Giulio Isotta";"7";"AGRANO 2";"1030500008";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA MONTE MASSONE";"5";"CRUSI A";"1030500013";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Verbano";"Omegna";"VIA MONTE MASSONE";"5";"CRUSI B";"1030500014";"Anno specificare";"Si";"1986";"No";"1";""
"Comune";"Verbano";"Ornavasso";"Via Jonghi";"3";"2";"1030510001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Pieve Vergonte";"Via Rosmini";"9";"1";"1030540002";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Verbano";"Piedimulera";"Via Louis Braille";"32";"1";"1030530001";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Verbano";"Premeno";"Via Mangiagalli";"5";"SM 1";"1030550001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Re";"Via LOCARNO";"14";"1";"1030600002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Quarna Sopra";"Via Circonvallazione";"20";"1";"1030580001";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Verbano";"Premosello-Chiovenda";"Via MILANO";"7/B";"01";"1030570002";"Anno specificare";"Si";"2004";"No";"1";""
"Comune";"Verbano";"Valstrona";"PIAZZA CADUTI";"2";"1";"1030690004";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Valstrona";"PIAZZA MADONNA DI CARAVAGGIO";"12";"3";"1030690006";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Alla Pastura";"13";"VBAA013076";"1030720012";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Trasquera";"Via Municipio";"2";"01";"1030670001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Varzo";"Piazza Bono";"6";"1";"1030710001";"Anno specificare";"Si";"1907";"No";"1";""
"Comune";"Verbano";"Santa Maria Maggiore";"Via Cavalli";"37";"2";"1030620002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Seppiana";"VIA SEPPIANA";"sn.";"1";"1030630002";"Anno specificare";"Si";"1954";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Alle Caserme";"12";"VBMM01000G";"1030720019";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Valstrona";"PIAZZA SANT'ANNA";"4";"2";"1030690005";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Varzo";"Via Alneda";"1";"2";"1030710002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Corso Cairoli";"85";"VBAA01003E";"1030720018";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Trontano";"VIA ROSMINI";"2";"2";"1030680001";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Verbano";"Varzo";"strada san domenico";"12";"3";"1030710003";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Piazza Fabbri";"3";"VBAA01001C";"1030720017";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Verbano";"San Bernardino Verbano";"Via Marconi";"9";"1";"1030610002";"Anno specificare";"Si";"1940";"No";"1";""
"Comune";"Verbano";"Verbania";"Piazza Fabbri";"3";"VBEE01001N";"1030720013";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Verbano";"Stresa";"Via Fogazzaro";"1";"1";"1030640006";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Stresa";"Viale Virgilio";"1";"2";"1030640005";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Verbano";"Santa Maria Maggiore";"Via Torino";"11";"1";"1030620004";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Verbano";"Toceno";"Via Cazzini";"31";"1";"1030650002";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Trontano";"PIAZZA CHIESA";"1";"1";"1030680002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Verbano";"Santa Maria Maggiore";"Via Rosmini";"26";"3";"1030620001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Vanzone Con San Carlo";"Via marconi";"4/a";"1";"1030700001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Della Rossa";"1";"VBAA012069";"1030720023";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Viale Sant'Anna";"60";"VBEE012019";"1030720010";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Vignone";"PIAZZA ALIGHIERI DANTE";"1";"1";"1030740002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Villadossola";"VIALE VENETO";"25";"1";"1030750007";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Filatoio";"6";"VBAA012036";"1030720021";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"VIA MAGGIORE";"1";"VBAA013054";"1030720011";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Villette";"Via GIULIO PASTORE";"2";"0001";"1030760001";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Vercelli";"Alagna Valsesia";"Frazione Frazione Centro";"1";"1";"0020020001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via CUBONI - Materna ";"12";"VBAA013021";"1030720024";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Verbano";"Villadossola";"VIA GARIBALDI";"2";"3";"1030750004";"Anno specificare";"Si";"1940";"No";"1";""
"Comune";"Verbano";"Verbania";"Via CUBONI - Elementare ";"9";"VBEE013059";"1030720028";"Anno specificare";"Si";"1940";"No";"1";""
"Comune";"Verbano";"Verbania";"Via ROSMINI - Media Quasimodo";"6";"VBMM01100B";"1030720031";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Villette";"Via GIULIO PASTORE";"4";"0002";"1030760002";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Verbano";"Villadossola";"Piazza OSSOLA";"6";"2";"1030750002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Marconi";"6";"VBEE01209N";"1030720027";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Montebello";"54";"VBAA012058";"1030720022";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Vogogna";"VIA VIETTI VIOLI PAOLO ARCHITETTO";"17";"A1";"1030770001";"Anno specificare";"Si";"1989";"No";"1";""
"Comune";"Verbano";"Verbania";"Via REPUBBLICA - Media Ranzoni";"6";"VBMM012007";"1030720030";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Verbano";"Verbania";"VIA ROSA ANNIBALE";"78";"VBEE01003Q";"1030720014";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Sergio Bocci";"2/4";"VBEE01207L";"1030720026";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Verbano";"Vignone";"Via VENEZIA";"3";"2";"1030740001";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Verbano";"Verbania";"Via Monte Rosa";"12";"VBEE01307B";"1030720029";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Verbano";"Villadossola";"VIA BOLDRINI";"28";"4";"1030750005";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgo D'Ale";"Via Arbuscello";"1";"2";"0020150002";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"PIAZZA MARTIRI";"2";"E2-2/2";"0020160008";"Anno specificare";"Si";"1875";"No";"1";""
"Comune";"Vercelli";"Boccioleto";"Via Roma";"43";"1";"0020140001";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"VIA MARCONI GUGLIELMO";"2";"M1-2/2";"0020160015";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"Via Benedetto Vercellina";"2";"E3";"0020160001";"Anno specificare";"Si";"1911";"No";"1";""
"Comune";"Vercelli";"Borgo D'Ale";"Corso Libertà";"8";"1";"0020150003";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Balmuccia";"Via Roma";"1";"1";"0020080001";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"VIA MARCONI GUGLIELMO";"2";"M1-1/2";"0020160007";"Anno specificare";"Si";"1935";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"Via Zoia";"3";"I4";"0020160004";"Anno specificare";"Si";"1982";"No";"1";""
"Comune";"Vercelli";"Borgo Vercelli";"Via Tavallini";"72";"2";"0020170002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Arborio";"CORSO UMBERTO I";"129";"02";"0020060001";"Anno specificare";"Si";"2002";"No";"1";""
"Comune";"Vercelli";"Alagna Valsesia";"Piazza piazza degli Alberghi";"sn";"2";"0020020002";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Vercelli";"Alice Castello";"Piazza Giovanni Crosio";"18";"1";"0020040001";"Anno specificare";"Si";"1901";"No";"1";""
"Comune";"Vercelli";"Arborio";"Corso umberto i";"75";"04";"0020060004";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Vercelli";"Arborio";"CORSO RE UMBERTO I";"116";"01";"0020060002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Vercelli";"Bianze'";"Via ISNARDI";"25";"01";"0020110001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Asigliano Vercellese";"Piazza Giovanni XXIII";"snc";"2";"0020070001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Vercelli";"Asigliano Vercellese";"Via 55 Caduti";"snc";"1";"0020070003";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Vercelli";"Buronzo";"Piazza Municipio";"14";"1";"0020210003";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"VIA MARCONI GUGLIELMO";"S.N.";"I1";"0020160005";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"Via Sorelle Calderini";"S.N.";"I2";"0020160013";"Anno specificare";"Si";"1969";"No";"1";""
"Comune";"Vercelli";"Alice Castello";"Piazza Dr. Giorgio Ballario";"8";"2";"0020040002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgo Vercelli";"Via Besate";"9";"1";"0020170001";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Vercelli";"Arborio";"CORSO UMBERTO I";"129";"03";"0020060003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Vercelli";"Bianze'";"Via ISNARDI";"25";"02";"0020110002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"VIA MARCONI GUGLIELMO";"27";"E1";"0020160002";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Vercelli";"Asigliano Vercellese";"piazza  vittorio veneto ";"1";"3";"0020070004";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"PIAZZA MARTIRI";"2";"E2-1/2";"0020160009";"Anno specificare";"Si";"1915";"No";"1";""
"Comune";"Vercelli";"Borgosesia";"Via Alberto Giordano";"7";"I3";"0020160014";"Anno specificare";"Si";"1940";"No";"1";""
"Comune";"Vercelli";"Carisio";"Piazza COLLOBIANO";"1";"2";"0020320001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Vercelli";"Crescentino";"Via A. Manzoni";"14";"3";"0020490008";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Vercelli";"Crescentino";"Via C.Colombo";"2";"1A";"0020490001";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Vercelli";"Cigliano";"Via BERTAZZI";"29";"CIGLIANO 2";"0020420002";"Anno specificare";"Si";"2005";"No";"1";""
"Comune";"Vercelli";"Cellio";"PIAZZA DURIO";"3";"2";"0020380002";"Anno specificare";"Si";"1955";"No";"1";""
"Comune";"Vercelli";"Caresanablot";"Via DANTE ALIGHIERI";"6";"1";"0020310001";"Anno specificare";"Si";"2001";"No";"1";""
"Comune";"Vercelli";"Cellio";"Piazza Durio";"1";"1";"0020380003";"Anno specificare";"Si";"1912";"No";"1";""
"Comune";"Vercelli";"Cravagliana";"VIA CENTRO";"S.N.";"1";"0020480001";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Vercelli";"Desana";"VIA TRINO";"26";"01";"0020540001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
