"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Alessandria";"Casale Monferrato";"Cantone Chiesa";"34/c";"14";"0060390013";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Cantone Chiesa";"12";"11";"0060390012";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cartosio";"VIALE GIOVANNI XXIII PAPA";"8";"1";"0060360001";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Cantone Chiesa";"104/A";"15";"0060390006";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"CORSO VERDI GIUSEPPE";"6";"19";"0060390015";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"strada Alessandria";"62";"10";"0060390024";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Piazzale DUCA D'AOSTA";"4";"5";"0060390028";"Anno specificare";"Si";"1957";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"VIA CANE FACINO";"0";"24";"0060390033";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"VIA CAVOUR CAMILLO BENSO";"46";"4";"0060390001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via CANDIDO POGGIO";"39,41";"3";"0060390003";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"strada Alessandria";"62";"9";"0060390014";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via FACINO CANE";"27";"21";"0060390029";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Strada TERRUGGIA";"2/D";"13";"0060390031";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via ITALO ROSSI";"3";"8";"0060390023";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via G. DEL CARRETTO";"3";"1";"0060390004";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via ITALO ROSSI";"3";"6";"0060390008";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via G. DEL CARRETTO";"3";"2";"0060390027";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via ITALO ROSSI";"3";"7";"0060390022";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cassine";"Piazza VITTORIO VENETO";"2";"3";"0060430003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"via Trevigi";"16";"20";"0060390009";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Via Rosselli";"30";"16";"0060390011";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"via oggero";"2";"22";"0060390030";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"via Piacibello";"23";"17";"0060390026";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
