"Anno","Provincia","Comune","Grado Scolastico","Conta","Num. Tot Sezioni","Num Tot Maschi","Num Tot Femmine","Totale","Conta","Tot Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr. T","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr.","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr."
"2010-2011","ALESSANDRIA","MORNESE","2 - Scuola primaria","0","","","","","1","5","39","33","72","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MORNESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","35","28","63","0","","","",""
"2010-2011","ALESSANDRIA","MORSASCO","1 - Scuola dell'infanzia","1","1","11","11","22","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MORSASCO","2 - Scuola primaria","0","","","","","1","5","19","12","31","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MURISENGO","1 - Scuola dell'infanzia","1","2","31","25","56","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MURISENGO","2 - Scuola primaria","0","","","","","1","6","43","52","95","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MURISENGO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","30","30","60","0","","","",""
"2010-2011","ALESSANDRIA","NOVI LIGURE","1 - Scuola dell'infanzia","7","23","296","299","595","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","NOVI LIGURE","2 - Scuola primaria","0","","","","","5","55","545","580","1125","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","NOVI LIGURE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","37","386","424","810","0","","","",""
"2010-2011","ALESSANDRIA","NOVI LIGURE","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","8","85","1012","922","1934"
"2010-2011","ALESSANDRIA","OCCIMIANO","1 - Scuola dell'infanzia","1","2","23","12","35","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OCCIMIANO","2 - Scuola primaria","0","","","","","1","5","46","53","99","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OCCIMIANO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","71","64","135","0","","","",""
"2010-2011","ALESSANDRIA","OTTIGLIO","1 - Scuola dell'infanzia","1","1","9","17","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OVADA","1 - Scuola dell'infanzia","4","13","151","171","322","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OVADA","2 - Scuola primaria","0","","","","","2","25","254","246","500","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OVADA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","17","167","196","363","0","","","",""
"2010-2011","ALESSANDRIA","OVADA","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","6","45","414","477","891"
"2010-2011","ALESSANDRIA","OVIGLIO","1 - Scuola dell'infanzia","1","2","23","12","35","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OVIGLIO","2 - Scuola primaria","0","","","","","1","5","23","17","40","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OZZANO MONFERRATO","1 - Scuola dell'infanzia","1","2","26","18","44","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OZZANO MONFERRATO","2 - Scuola primaria","0","","","","","1","5","30","35","65","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","OZZANO MONFERRATO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","18","30","48","0","","","",""
"2010-2011","ALESSANDRIA","PASTURANA","1 - Scuola dell'infanzia","1","1","16","7","23","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PASTURANA","2 - Scuola primaria","0","","","","","1","4","19","22","41","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PECETTO DI VALENZA","1 - Scuola dell'infanzia","1","1","14","13","27","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PECETTO DI VALENZA","2 - Scuola primaria","0","","","","","1","5","18","24","42","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PIOVERA","1 - Scuola dell'infanzia","1","1","6","6","12","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONTECURONE","1 - Scuola dell'infanzia","1","3","37","34","71","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONTECURONE","2 - Scuola primaria","0","","","","","1","7","62","66","128","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONTECURONE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","5","33","58","91","0","","","",""
"2010-2011","ALESSANDRIA","PONTESTURA","1 - Scuola dell'infanzia","1","2","25","20","45","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONTESTURA","2 - Scuola primaria","0","","","","","1","5","37","34","71","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONTESTURA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","5","44","36","80","0","","","",""
"2010-2011","ALESSANDRIA","PONTI","1 - Scuola dell'infanzia","1","1","6","6","12","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONZONE","1 - Scuola dell'infanzia","1","1","5","2","7","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PONZONE","2 - Scuola primaria","0","","","","","1","5","7","14","21","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","POZZOLO FORMIGARO","1 - Scuola dell'infanzia","1","4","49","47","96","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","POZZOLO FORMIGARO","2 - Scuola primaria","0","","","","","1","10","90","113","203","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","POZZOLO FORMIGARO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","51","67","118","0","","","",""
"2010-2011","ALESSANDRIA","PREDOSA","1 - Scuola dell'infanzia","1","2","27","19","46","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PREDOSA","2 - Scuola primaria","0","","","","","1","5","39","39","78","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","PREDOSA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","22","38","60","0","","","",""
"2010-2011","ALESSANDRIA","QUARGNENTO","1 - Scuola dell'infanzia","1","2","28","18","46","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","QUARGNENTO","2 - Scuola primaria","0","","","","","1","5","34","27","61","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","QUATTORDIO","1 - Scuola dell'infanzia","1","1","17","9","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","QUATTORDIO","2 - Scuola primaria","0","","","","","1","5","33","36","69","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","RIVALTA BORMIDA","1 - Scuola dell'infanzia","1","2","19","27","46","0","","","","","0","","","","","0","","","",""
