"Anno";"Provincia";"CodiceIstatComune";"Comune";"DenominazioneEsercizio";"Indirizzo";"Tipologia";"SettoreMerceologico";"SuperficieDiVenditaMq";"InseritoInCC";"NuovaApertura";"Cessazione";"AmpliamentoRiduzione";"Volturazione";""
"2014";"Torino";"1028";"BORGARO TORINESE";"B.B.M. DI GIANOLA MARINO e C.SNC";"VIA LANZO 89";"M";"Non alimentare";"262";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1028";"BORGARO TORINESE";"PORRO SERVIZI SRL";"VIA RIVAROLO 49";"M";"Misto";"770";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1028";"BORGARO TORINESE";"SPAZIO BIMBO S.N.C.";"VIA LANZO 207";"M";"Misto";"610";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1035";"BRICHERASIO";"GODINO CARLO E C. SNC";"STRADA SAN MICHELE 23";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1042";"BUROLO";"IDEA UNO SPA";"VIA STATALE LAGO DI VIVERONE 53";"M";"Non alimentare";"178";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1042";"BUROLO";"MAXI ZOO";"VIALE LIGURIA 5";"M";"Non alimentare";"540";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1045";"BUTTIGLIERA ALTA";"IL REGALO snc";"VIA ROSTA 9";"M";"Non alimentare";"252";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1047";"CALUSO";"GRUPPO CI-DUE SAS";"VIA NUOVA CIRCONVALLAZIONE 50";"M";"Non alimentare";"202";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1048";"CAMBIANO";"COMETA SRL";"VIA NAZIONALE 67";"M";"Misto";"1100";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1048";"CAMBIANO";"F.LLI BUZZI S.P.A.";"STRADA PROVINCIALE 122  PER CHIERI ? SUB AREA De2";"M";"Non alimentare";"1274";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1024";"BEINASCO";"POLTRONESOFA'";"STRADA TORINO 31";"M";"Non alimentare";"361";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1027";"BOLLENGO";"DITTA ZOODOM";"Via G. Gambone 11";"M";"Non alimentare";"225";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1033";"BOSCONERO";"CM DI COSTANTINO SNC";"VIA TORINO 14";"M";"Misto";"180";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1035";"BRICHERASIO";"ALBERTENGO MATTEO";"STRADA CIRCONVALLAZIONE 50";"M";"Misto";"225";"NO";"0";"0";"0";"1";""
"2014";"Torino";"1043";"BUSANO";"ESPOSITO ANTONIO";"VIA R.PERINO 21";"M";"Non alimentare";"156";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1046";"CAFASSE";"SIREM SAS DI SORRISIO RENZO e C.";"C.SO IV NOVEMBRE 18";"M";"Non alimentare";"197";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1051";"CANDIOLO";"BASCOM SRL di ASTEGIANO LUCA";"VIA PINEROLO 61/A";"M";"Misto";"460";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1027";"BOLLENGO";"G.T.SPORT S.N.C. DI GIGLIO TOS LINO e C.";"VIA STATALE 23";"M";"Non alimentare";"350";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1033";"BOSCONERO";"IAVELLI GIUSEPPE";"VIA TRENTO 19";"M";"Non alimentare";"480";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1034";"BRANDIZZO";"M. BUSINESS S.R.L.";"VIA TORINO 454";"G";"Misto";"4480";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1042";"BUROLO";"UNIEURO SPA";"VIA SATATALE LAGO DI VIVERONE 1/b";"M";"Non alimentare";"1498";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1042";"BUROLO";"FULVIA PAGLIUGHI SNC DEI F.LLI ANSELMO";"VIA STATALE LAGO DI VIIVERONE 26";"M";"Non alimentare";"866";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1047";"CALUSO";"ACCHITO PLANETARIUM SRL";"VIA NUOVA CIRCONVALLAZIONE 50";"M";"Non alimentare";"310";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1051";"CANDIOLO";"AMA SNC DI MANZI FELICE E C.";"VIA TORINO 46";"M";"Misto";"350";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"VEDELAGO SRL";"VIA POIRINO 40";"M";"Non alimentare";"330";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1063";"CASELLE TORINESE";"SHOPPING SRL";"STRADA TORINO 11";"M";"Misto";"1019";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1065";"CASTAGNOLE PIEMONTE";"CITRO MASSIMO";"VIA SAN GIOVANNI BOSCO 1";"M";"Misto";"208";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1066";"CASTELLAMONTE";"MAGAZZINO DELLA SCARPA DI MUSSO GIACOMO E C. SNC";"VIA M.PICCOLI 12";"M";"Non alimentare";"398";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"CAVANNA SNC DI CAVANNA PAOLO E C.";"VIA TANA 36";"M";"Non alimentare";"315";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"LIDL italia srl";"Via Conte Rossi di Montelera";"M";"Misto";"800";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1081";"CHIUSA DI SAN MICHELE";"LA BOTTEGA DELLA CARNE SNC";"VIA SUSA 37";"M";"Alimentare";"892";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"TREVISAN DOLCIARIA SRL";"PIAZZA MARTIRI 20";"M";"Misto";"265";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"CVG MAX GENOVA SRL";"VIA SOMMARIVA 29/1-2";"M";"Non alimentare";"515";"SI";"1";"0";"0";"0";""
"2014";"Torino";"1069";"CAVAGNOLO";"NERVO GIANCARLO EREDI";"VIA C. COLOMBO 80";"M";"Misto";"477";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"CIRTAL SRL";"VIA ANDEZENO 6O/A";"M";"Misto";"411";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"BIELLA SCARPE SRL";"VIA DEI BERSAGLIERI s.n.c.";"M";"Non alimentare";"1323";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"DPS GROUP s.r.l.";"Via degli Alpini s.n.c.";"M";"Non alimentare";"613";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1058";"CARIGNANO";"GIACOBINA ELENA";"PIAZZA CARLO ALBERTO 58";"M";"Non alimentare";"165";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"LIDL SRL";"VIA PAPA GIOVANNI XXIII 2";"M";"Misto";"1203";"NO";"0";"0";"1";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"CAVE PROVANA DI ZUCCA S.F.A.";"REGIONE PROVANA S.N.";"M";"Non alimentare";"400";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"F.M. TRADING S.R.L.";"VIA S. F. DI SALES 24";"M";"Non alimentare";"1067";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1059";"CARMAGNOLA";"ANIMAL SHOP HOUSE SRL";"VIA SOMMARIVA";"M";"Non alimentare";"435";"SI";"1";"0";"0";"0";""
"2014";"Torino";"1066";"CASTELLAMONTE";"MARAL SNC DI CAPUTO MARINA & C.";"VIALE TENENTE MORELLO 1";"M";"Misto";"160";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1072";"CERES";"MOLINARI ADOLFO SNC DI MOLINARI GIOVANNI FELICE";"VIA TORINO 24";"M";"Non alimentare";"1000";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1074";"CESANA TORINESE";"ARREDAMENTI GRANDI SNC DI GRANDI ENRICO E PASQUERO ALBERTO";"VIA ORTIGARA 15";"M";"Non alimentare";"226";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"MAGAZZINI MONTELLO SPA";"STRADA CAMBIANO 123";"M";"Non alimentare";"1199";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"PENNY MARKET ITALIA SRL";"STRADA PADANA INFERIORE 110";"M";"Misto";"685";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"CAVALIERE ANTONIO E C. SNC";"VIA PADANA INFERIORE 19";"M";"Non alimentare";"323";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"MAGAZZINI MONTELLO SPA";"VIA C.R.MONTELERA 51";"M";"Non alimentare";"1327";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1078";"CHIERI";"NOVA COOP SOCIETA' COOPERATIVA";"VIA POLESINE 2";"G";"Misto";"4500";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"PANDA MARKET S.R.L.";"VIA CADUTI PER LA LIBERTA' 18";"M";"Misto";"330";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"CAMPER ONE DI COLELLA DANTE & C. S.A.S.";"C.SO G. FERRARIS 128";"M";"Non alimentare";"543";"NO";"0";"0";"0";"0";""
