EnteDiCompetenza;Provincia;Comune;DenominazioneIndirizzo;Indirizzo;NumeroCivico;VIA;CodiceEdificioRilevazione;CodiceEdificioRegionePiemonte;AnnoDiCostruzione;AnnoDiCostruzioneSND;AnnoEsattoDiCostruzione;CopiaArchivioSiNo;ContaEdifici
Comune;Torino;Torino;Via Invernizio Carolina;VIA INVERNIZIO CAROLINA;21;VIA INVERNIZIO CAROLINA 21;09/204;12720017;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;Via Giacosa Giuseppe;VIA GIACOSA GIUSEPPE;25;VIA GIACOSA GIUSEPPE 25;08/176;12720301;Anno specificare;Si;1882;No;1
Comune;Torino;Torino;Via Lancia Vincenzo;VIA LANCIA VINCENZO;140;VIA LANCIA VINCENZO 140;03/053;12720188;Anno specificare;Si;1981;No;1
Comune;Torino;Torino;Via Giulia Di Barolo;VIA GIULIA DI BAROLO;8;VIA GIULIA DI BAROLO 8;01/011;12720085;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via LANFRANCO;VIA LANFRANCO;2;VIA LANFRANCO 2;02/032;12720160;Anno specificare;Si;1967;No;1
Comune;Torino;Torino;Via Lanzo;VIA LANZO;146;VIA LANZO 146;05/104;12720036;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Lanzo;VIA LANZO;28;VIA LANZO 28;05/103;12720037;Anno specificare;Si;1981;No;1
Comune;Torino;Torino;Via Luserna Di RorÃ  Emanuele;VIA LUSERNA DI RORÃ  EMANUELE;14;VIA LUSERNA DI RORÃ  EMANUELE 14;03/066;12720067;Anno specificare;Si;1905;No;1
Comune;Torino;Torino;Via Magnolie (Delle);VIA MAGNOLIE (DELLE);set-15;VIA MAGNOLIE (DELLE) 42248;05/114;12720002;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via Lemie;VIA LEMIE;48;VIA LEMIE 48;05/106;12720142;Anno specificare;Si;1968;No;1
Comune;Torino;Torino;Via Leoncavallo Ruggero;VIA LEONCAVALLO RUGGERO;61/2;VIA LEONCAVALLO RUGGERO 61/2;06/144;12720012;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via Lussimpiccolo;VIA LUSSIMPICCOLO;36/A;VIA LUSSIMPICCOLO 36/A;03/054;12720082;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Le Chiuse;VIA LE CHIUSE;80;VIA LE CHIUSE 80;04/080;12720186;Anno specificare;Si;1963;No;1
Comune;Torino;Torino;Via Lanzo;VIA LANZO;147/11;VIA LANZO 147/11;05/102;12720069;Anno specificare;Si;1981;No;1
Comune;Torino;Torino;Via Madama Cristina;VIA MADAMA CRISTINA;102;VIA MADAMA CRISTINA 102;08/179;12720303;Anno specificare;Si;1887;No;1
Comune;Torino;Torino;Via Lorenzini Carlo;VIA LORENZINI CARLO;4;VIA LORENZINI CARLO 4;05/113;12720195;Anno specificare;Si;1970;No;1
Comune;Torino;Torino;Via Mille (dei);VIA MILLE (DEI);15;VIA MILLE (DEI) 15;01/010;12720134;Anno specificare;Si;1877;No;1
Comune;Torino;Torino;Via Messina;VIA MESSINA;14;VIA MESSINA 14;07/151;12720172;Anno specificare;Si;1905;No;1
Comune;Torino;Torino;Via Masserano;VIA MASSERANO;4;VIA MASSERANO 4;07/173;12720083;Anno specificare;Si;1904;No;1
Comune;Torino;Torino;Via Massena Andrea;VIA MASSENA ANDREA;39;VIA MASSENA ANDREA 39;01/009;12720128;Anno specificare;Si;1880;No;1
Comune;Torino;Torino;Via Marsigli Luigi Ferdinando;VIA MARSIGLI LUIGI FERDINANDO;25;VIA MARSIGLI LUIGI FERDINANDO 25;03/068;12720178;Anno specificare;Si;1977;No;1
Comune;Torino;Torino;VIA MAGNOLIE (DELLE);VIA MAGNOLIE (DELLE);15;VIA MAGNOLIE (DELLE) 15;05/124;12720022;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Mentana;VIA MENTANA;14;VIA MENTANA 14;08/184;12720182;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via Manara;VIA MANARA;10;VIA MANARA 10;08/221;12720135;Anno specificare;Si;1910;No;1
Comune;Torino;Torino;Via Monte Novegno;VIA MONTE NOVEGNO;31;VIA MONTE NOVEGNO 31;02/030;12720052;Anno specificare;Si;1978;No;1
Comune;Torino;Torino;Via Monte Grappa;VIA MONTE GRAPPA;81;VIA MONTE GRAPPA 81;04/078;12720294;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via Millio Franceso;VIA MILLIO FRANCESO;42;VIA MILLIO FRANCESO 42;03/074;12720191;Anno specificare;Si;1963;No;1
Comune;Torino;Torino;Via Monte Corno;VIA MONTE CORNO;21;VIA MONTE CORNO 21;09/205;12720050;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Pacchiotti Giacinto;VIA PACCHIOTTI GIACINTO;102;VIA PACCHIOTTI GIACINTO 102;04/087;12720102;Anno specificare;Si;1963;No;1
Comune;Torino;Torino;Via Nizza;VIA NIZZA;151;VIA NIZZA 151;08/199;12720204;Anno specificare;Si;1880;No;1
Comune;Torino;Torino;Via Nichelino;VIA NICHELINO;7;VIA NICHELINO 7;09/197;12720173;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Montevideo;VIA MONTEVIDEO;11;VIA MONTEVIDEO 11;09/194;12720089;Anno specificare;Si;1933;No;1
Comune;Torino;Torino;Via Nuova;VIA NUOVA;2;VIA NUOVA 2;08/182;12720009;Anno specificare;Si;1909;No;1
Comune;Torino;Torino;Via Negri Ada;VIA NEGRI ADA;23;VIA NEGRI ADA 23;02/027;12720155;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Monte Rosa;VIA MONTE ROSA;165;VIA MONTE ROSA 165;06/137;12720077;Anno specificare;Si;1976;No;1
Comune;Torino;Torino;Via Mosca Gaetano;VIA MOSCA GAETANO;11;VIA MOSCA GAETANO 11;05/099;12720141;Anno specificare;Si;1962;No;1
Comune;Torino;Torino;Via Nizza;VIA NIZZA;395;VIA NIZZA 395;09/200;12720126;Anno specificare;Si;1931;No;1
Comune;Torino;Torino;Via Negarville Celeste;VIA NEGARVILLE CELESTE;30-giu;VIA NEGARVILLE CELESTE 42551;10/214;12720129;Anno specificare;Si;1967;No;1
Comune;Torino;Torino;Via Perrone;VIA PERRONE;7/bis;VIA PERRONE 7/bis;01/021;12720322;3 - tra il 1900 ed il 1920;Si;;No;1
