name;average;max;mean;surface_sale;sale#;min;id;coord;sales
Orbassano;161.886418772;624;624;624;1;624;96;45.05312, 7.655695;CORSO ROSSELLI 75
Universita`3;239.91065325;354;283;1700;6;251;150;45.06758, 7.69171333333333;VIA ROSINE 8, PIAZZA VITTORIO VENETO 7/A, VIA ROSINE 4/B, VIA PO 46/B, VIA L. DES AMBROIS 5/R, VIA BOGINO 2/B
Principi d`Acaja 2;284.726152931;800;449;2248;5;277;117;45.07606, 7.664295;VIA DUCHESSA JOLANDA 13/A, CORSO INGHILTERRA 47, CORSO FRANCIA 31/B, VIA CIBRARIO 6/I, VIA CIBRARIO 16
Valentino 1;277.288476101;1000;571;1714;3;314;154;45.059145, 7.68805;VIA BERNARDINO GALLIARI 27, CORSO VITTORIO EMANUELE II IS 32/BIS/C, VIA MILLE 46/D
Principi d`Acaja 1;206.995378767;800;393;2753;7;254;116;45.07318, 7.6622699999999995;VIA SUSA 3/B, VIA AVIGLIANA 16/B, ACAJA 51/A, VIA DUCHESSA JOLANDA 13/A, VIA SUSA 40, VIA ABATE A.M. VASSALLI EANDI 40/B, CORSO FRANCIA 31/B
Giardini Cavour;288.114958822;1000;651;1302;2;302;55;45.06315, 7.688885000000001;VIA MILLE 46/D, VIA ROSINE 8
Risorgimento;167.54747885;1800;918;3672;4;251;129;45.07965, 7.65217;VIA DIGIONE 21/C, PIAZZA RISORGIMENTO 20/A, CORSO SVIZZERA 52/A, CORSO SVIZZERA 68/B
Belgio 2;77.2153023036;590;590;590;1;590;7;45.07327, 7.71714;CORSO BELGIO 101
Torino Esposizioni;280.960536938;960;478;1913;4;262;143;45.050475, 7.68118;CORSO RAFFAELLO 16, VIA MADAMA CRISTINA 66, VIA MADAMA CRISTINA 66, VIA T. VALPERGA CALUSO 18/C
Ferrucci;105.126660382;330;297;595;2;265;42;45.063845, 7.655815;VIA P.C. BOGGIO 56/F, VIA P.C. BOGGIO 56/BIS/A
Lungo Po Cadorna;283.789125262;586;386;1544;4;253;73;45.065490000000004, 7.69871;VIA SANTORRE SANTAROSA IS 6/BIS/A, CORSO CASALE 313/int.6, PIAZZA VITTORIO VENETO 7/A, VIA VANCHIGLIA 18/I
