id;name;mall#;average;malls;coord
Metro Paradiso;110.53284832;7;83;45.07373, 7.6018;50645014, 50645017, 50659017, 50645013, 50659016, 50637018, 50637017;
Statuto 2;220.439610395;20;140;45.076245, 7.67166;57125001, 51955008, 57787001, 51938003, 51955002, 57127001, 55562001, 55560003, 56668001, 56669001, 55559001, 55559002, 56669004, 51967005, 51967006, 51981002, 51988002, 51915002, 57126001, 56799002;
Filadelfia;238.068362397;8;43;45.0371733333333, 7.64884;51422008, 51447006, 51455006, 51494011, 51501007, 51501008, 51324010, 51343006;
CORSO SAN MAURIZIO E VANCHIGLIA;260.147249332;17;-3;45.07007, 7.697839999999999;53715001, 52428002, 52395004, 54754001, 52385003, 52385004, 52476002, 52395003, 54756001, 52360005, 52360003, 52376002, 52494003, 52360004, 52464003, 52464004, 54755001;
Dora Firenze;229.758101181;17;37;45.07945, 7.689225;52314006, 52314004, 52314003, 52293003, 52294003, 52299005, 52299004, 52259003, 56743001, 52353003, 52259004, 52326002, 52333004, 52349003, 52275004, 52284003, 52291004;
Galimberti;217.733905953;5;51;45.03308, 7.656515;51583007, 51533007, 51615007, 51559006, 53828002;
Marconi 1;245.793947487;11;76;45.05546, 7.68267;52208003, 52171002, 52170002, 52240002, 52196002, 52239003, 52205003, 52258003, 52257005, 52226003, 52227003;
Porta Palatina;276.030774843;22;113;45.07395, 7.664;55558003, 55558001, 57072001, 56687003, 56687004, 56687001, 51857005, 51850005, 51952004, 51952003, 56786001, 51950003, 51950004, 51904003, 51932003, 57787001, 51739007, 51739008, 51774004, 51856009, 52526004, 51856007;
Corte d`Appello;223.942920494;12;32;45.0744, 7.67885;52177002, 52076002, 52207004, 52207003, 52087003, 52115003, 55564001, 55565001, 55562001, 55563001, 52124004, 52151002;
Mauriziano 1;160.16309312;12;81;45.05012, 7.6657399999999996;51892005, 51892006, 51861004, 51860005, 51867004, 51848005, 51848004, 51777003, 51782005, 51905003, 51809005, 51831005;
Mauriziano 2;209.470449227;16;82;45.05167, 7.663494999999999;51742005, 51861004, 51860005, 51867004, 51848005, 51848004, 51777003, 51782005, 51905003, 51809005, 51764004, 51732004, 51699005, 51831005, 51789004, 51789005;
Valdo Fusi;192.580589943;14;151;45.064665000000005, 7.6863;52012003, 55576001, 56780002, 52710002, 52271003, 52274005, 52274004, 54745002, 54747001, 57370001, 52295005, 52298003, 54746001, 57369001;
Cernaia;226.4590258;19;25;45.072645, 7.670260000000001;51943002, 51954003, 55558003, 55558001, 56687003, 56687004, 56687001, 51952004, 51952003, 56786001, 57125001, 51950003, 51950004, 57259001, 51955008, 51932003, 57787001, 51938003, 51955002;
Pietro Micca;176.31192086;16;104;45.070515, 7.682285;55568001, 57192001, 55571001, 52221004, 52221003, 52221002, 52192003, 52213005, 52213004, 52254004, 52206003, 52187004, 52254003, 52177002, 52238003, 52207004;
Stazione Ferroviaria Paradiso;227.419417813;9;142;45.068290000000005, 7.59957;57802001, 50663010, 57800001, 57801001, 55667001, 50852020, 50967012, 50799013, 50799014;
De Amicis;160.815707213;11;35;45.046765, 7.673030000000001;52040003, 52040002, 52068003, 52103003, 52025008, 52057002, 52025003, 52028005, 52017002, 52017003, 56982001;
Paravia;157.615723819;16;99;45.077575, 7.67035;57127001, 55560003, 56668001, 52526004, 56669001, 55559001, 55559002, 56669004, 51967005, 51967006, 51981002, 51988002, 51915002, 57126001, 51895004, 56799002;
Umbria;203.062394164;11;147;45.083059999999996, 7.669555;51970003, 51970002, 52031002, 56800001, 52035003, 51906003, 51906002, 56798001, 51898003, 51934003, 51927002;
Valdocco;205.923752436;15;152;45.07809, 7.675714999999999;57127001, 55562001, 55563001, 52124004, 52151002, 52130003, 57126001, 52159004, 52159002, 52077003, 52090003, 52077002, 57884001, 57885001, 52096003;
PARCO SPINA, PARCO PELLERINA, QUADRANTE NORD OVEST;201.014528122;11;-1;45.0874, 7.651439999999999;51509006, 51504007, 51504005, 51504006, 53825001, 54725001, 51511005, 51542011, 51542010, 51542009, 51463006;
Stazione F.S.;165.859884692;4;141;45.07894, 7.574380000000001;50496014, 53751001, 57367001, 50509014;
Certosa / P.le Avis;204.67906546;5;26;45.08412, 7.57563;50507015, 50513017, 50514012, 50521014, 50521015;
Arbarello;240.291286976;16;2;45.07356, 7.676585;57271001, 52081006, 52081007, 52056005, 52177002, 52066002, 52091003, 52076002, 52087003, 52115003, 55564001, 55565001, 57127001, 55562001, 55563001, 52124004;
CLN;241.157576345;9;28;45.06609, 7.682205000000001;54745002, 56157003, 54746001, 51851006, 56208002, 57369001, 52164002, 55568001, 57192001;
Paleocapa;213.923668712;23;98;45.064155, 7.67881;53674005, 53674006, 52209004, 57364001, 53838001, 52119002, 52082004, 56581002, 52146002, 52146006, 52128004, 52146003, 52181003, 52181004, 52137005, 52137003, 52069002, 52069003, 52116002, 56157003, 57878001, 57878002, 51851006;
Madama Cristina;212.080995954;14;75;45.047315000000005, 7.6758;52132003, 52068003, 52125003, 52103003, 52025008, 52140002, 52057002, 52025003, 52028005, 52017002, 52017003, 56982001, 52168002, 52114003;
Solferino 2;216.533529738;20;136;45.0682433333333, 7.67619333333333;57878001, 57878002, 52051003, 52063002, 52094002, 52078004, 52164002, 52041003, 52106002, 52034003, 56682001, 52113003, 52113005, 52113004, 52138002, 57271001, 52061002, 52054004, 52081006, 52081007;
Fabbrichetta;145.869576864;4;40;45.06751, 7.56305;50456012, 56740001, 50442012, 50442011;
Consolata;185.593523294;11;30;45.075790000000005, 7.678;52087003, 52115003, 55564001, 55565001, 55562001, 55563001, 52124004, 52151002, 52130003, 52159004, 52159002;
RAI;247.983413825;24;119;45.068909999999995, 7.691165;52347004, 57881001, 57882002, 57882001, 56978001, 52313007, 52320003, 52313005, 52313006, 52395004, 57368001, 54754001, 52385003, 52385004, 52395003, 54753001, 52287003, 52360005, 52360003, 52376002, 52360004, 52341004, 52338003, 57038001;
Maria Vittoria;256.920877779;17;77;45.065135, 7.692285000000001;52362003, 52362004, 53841001, 55579001, 52374003, 52374004, 55580001, 54747001, 52409003, 53704002, 52295005, 52298003, 52392003, 52347004, 57881001, 57882002, 57882001;
Cimitero Monumentale;185.473276202;9;27;45.078835, 7.701395;52447005, 52447003, 52487003, 52508003, 52508002, 56984001, 52484003, 52484004, 52505003;
Politecnico 2;263.989809274;12;108;45.062295, 7.663065;51738005, 51769004, 51728005, 51756004, 51800005, 51800004, 52256004, 51872007, 57880002, 57880003, 57880004, 57880001;
Politecnico 3;204.225611598;12;109;45.060735, 7.661295;51694005, 51827004, 51738005, 51769004, 51728005, 51756004, 51692005, 51669007, 57194001, 52086008, 51800005, 51800004;
Porta Nuova 1;175.680324652;22;111;45.06301, 7.678914999999999;53674005, 53674006, 52216003, 52209004, 57364001, 53838001, 52119002, 52082004, 56581002, 52146002, 52146006, 52128004, 52146003, 52181003, 52181004, 52137005, 52137003, 52069002, 52116002, 56157003, 57878001, 57878002;
Politecnico 4;268.976480839;11;110;45.063945000000004, 7.65998;51692005, 51669007, 57194001, 52086008, 51800005, 51800004, 52256004, 52163004, 57880003, 57880004, 54728001;
